Rainfall - (MM), Year,Month, Country, ISO3
20.791,1957,3, India, IND
26.74,1957,4, India, IND
44.3825,1957,5, India, IND
138.182,1957,6, India, IND
263.331,1957,7, India, IND
246.605,1957,8, India, IND
109.015,1957,9, India, IND
57.6985,1957,10, India, IND
24.3356,1957,11, India, IND
9.84536,1957,12, India, IND
11.2464,1958,1, India, IND
9.29542,1958,2, India, IND
11.9069,1958,3, India, IND
32.7263,1958,4, India, IND
47.5292,1958,5, India, IND
89.6983,1958,6, India, IND
302.338,1958,7, India, IND
282.335,1958,8, India, IND
191.385,1958,9, India, IND
87.6363,1958,10, India, IND
33.5554,1958,11, India, IND
7.76899,1958,12, India, IND
21.4041,1959,1, India, IND
10.9499,1959,2, India, IND
12.2555,1959,3, India, IND
31.544,1959,4, India, IND
66.7905,1959,5, India, IND
166.933,1959,6, India, IND
303.745,1959,7, India, IND
249.859,1959,8, India, IND
209.805,1959,9, India, IND
103.229,1959,10, India, IND
21.667,1959,11, India, IND
4.07904,1959,12, India, IND
12.5745,1960,1, India, IND
2.12844,1960,2, India, IND
22.604,1960,3, India, IND
16.4202,1960,4, India, IND
46.0202,1960,5, India, IND
130.882,1960,6, India, IND
285.57,1960,7, India, IND
223.934,1960,8, India, IND
150.146,1960,9, India, IND
58.7067,1960,10, India, IND
30.2244,1960,11, India, IND
5.54462,1960,12, India, IND
21.6967,1961,1, India, IND
22.6308,1961,2, India, IND
9.01449,1961,3, India, IND
20.9212,1961,4, India, IND
60.9438,1961,5, India, IND
183.215,1961,6, India, IND
276.806,1961,7, India, IND
273.872,1961,8, India, IND
202.896,1961,9, India, IND
103.022,1961,10, India, IND
15.0559,1961,11, India, IND
7.60953,1961,12, India, IND
14.1812,1962,1, India, IND
15.6825,1962,2, India, IND
15.1378,1962,3, India, IND
33.2085,1962,4, India, IND
53.9502,1962,5, India, IND
112.875,1962,6, India, IND
268.185,1962,7, India, IND
243.415,1962,8, India, IND
221.185,1962,9, India, IND
69.9775,1962,10, India, IND
17.0842,1962,11, India, IND
27.7336,1962,12, India, IND
7.03661,1963,1, India, IND
8.05443,1963,2, India, IND
22.2656,1963,3, India, IND
37.1044,1963,4, India, IND
44.2707,1963,5, India, IND
142.951,1963,6, India, IND
254.934,1963,7, India, IND
283.277,1963,8, India, IND
163.17,1963,9, India, IND
95.3509,1963,10, India, IND
20.6819,1963,11, India, IND
10.7712,1963,12, India, IND
4.78518,1964,1, India, IND
7.51357,1964,2, India, IND
11.071,1964,3, India, IND
29.4254,1964,4, India, IND
47.1444,1964,5, India, IND
134.688,1964,6, India, IND
319.585,1964,7, India, IND
274.751,1964,8, India, IND
191.206,1964,9, India, IND
65.5413,1964,10, India, IND
23.7254,1964,11, India, IND
7.04819,1964,12, India, IND
7.72995,1965,1, India, IND
13.3311,1965,2, India, IND
15.5415,1965,3, India, IND
28.1512,1965,4, India, IND
32.7783,1965,5, India, IND
104.735,1965,6, India, IND
276.244,1965,7, India, IND
208.871,1965,8, India, IND
129.673,1965,9, India, IND
30.9342,1965,10, India, IND
16.4969,1965,11, India, IND
18.5913,1965,12, India, IND
14.0038,1966,1, India, IND
10.702,1966,2, India, IND
9.65287,1966,3, India, IND
15.6501,1966,4, India, IND
48.0747,1966,5, India, IND
150.893,1966,6, India, IND
239.374,1966,7, India, IND
208.13,1966,8, India, IND
144.664,1966,9, India, IND
50.1793,1966,10, India, IND
55.6283,1966,11, India, IND
16.2718,1966,12, India, IND
8.49683,1967,1, India, IND
5.19006,1967,2, India, IND
45.7922,1967,3, India, IND
24.1253,1967,4, India, IND
34.3153,1967,5, India, IND
150.108,1967,6, India, IND
288.632,1967,7, India, IND
251.185,1967,8, India, IND
154.182,1967,9, India, IND
38.4393,1967,10, India, IND
11.3594,1967,11, India, IND
38.2752,1967,12, India, IND
16.0685,1968,1, India, IND
13.9642,1968,2, India, IND
20.1336,1968,3, India, IND
